reference_code,title,price,currency,url,collection,objectID
,,"1,080€",EUR,,,CRB6037300
,,"1,120€",EUR,,,CRB7224516
,,"1,200€",EUR,,,CRB7218400
,,"1,380€",EUR,,,CRB6040300
,,"1,410€",EUR,,,CRB8301214
,,"1,500€",EUR,,,CRB7215700
,,"1,670€",EUR,,,CRB8043400
,,"2,010€",EUR,,,CRB6063017
,,"2,160€",EUR,,,CRB8301406
,,"2,400€",EUR,,,CRB6090400
,,"2,440€",EUR,,,CRB7215600
,,"3,150€",EUR,,,CRB7224744
,,"3,200€",EUR,,,CRB8041500
,,"3,300€",EUR,,,CRB8301444
,,"4,350€",EUR,,,CRB8301520
,,"4,400€",EUR,,,CRB7224745
,,"4,850€",EUR,,,CRB7224887
,,"4,950€",EUR,,,CRB7224972
,,"5,050€",EUR,,,CRB6090600
,,"5,100€",EUR,,,CRB8301415
,,5450,EUR,,,CRB4241000
,,"5,700€",EUR,,,CRB7225044
,,"5,700€",EUR,,,CRB7225017
,,"5,750€",EUR,,,CRB7225008
,,6300,EUR,,,CRB4248600
,,6300,EUR,,,CRB4246500
,,"6,450€",EUR,,,CRB8301408
,,"6,900€",EUR,,,CRB8301510
,,"7,050€",EUR,,,CRB8301544
,,"8,050€",EUR,,,CRB8301530
,,"8,650€",EUR,,,CRB8301478
,,"9,150€",EUR,,,CRB8301212
,,"9,300€",EUR,,,CRB8301541
,,"9,300€",EUR,,,CRB8301531
